param,baseline_gap,augmented_gap
kernel,0.03763082684903135,0.04747545365969355
C,0.08317313896069384,0.09975604335684804
epsilon,0.0850457143349615,0.08189572043746379
gamma,0.0362956512550176,0.0521373683715268
