param,best_value,best_median_MAE,worst_value,worst_median_MAE,max_median_gap
C,10.0,0.18342212286271195,0.1,0.28317816621956,0.09975604335684804
epsilon,0.01,0.1611732544314367,0.2,0.2430689748689005,0.08189572043746379
gamma,nan,0.1624001134858944,1,0.2145374818574212,0.0521373683715268
kernel,linear,0.1624001134858944,poly,0.20987556714558794,0.04747545365969355
