gamma,mean,median,std,min,max,count
nan,0.13897701543871718,0.15085043351156974,0.06679916309112442,0.0237683815278588,0.266549221356919,120
scale,0.17271424313535888,0.18112250358274207,0.07055570210946993,0.0373933670224122,0.3608251643555761,360
1,0.17398298861029984,0.1808228648345936,0.07128484602479251,0.0382717227863085,0.3761467501716158,360
auto,0.2059342493111831,0.18712600408337177,0.11331613246969392,0.0279988848142791,0.5549153422961537,360
0.1,0.21865662596847346,0.18714608476658734,0.1236425441198972,0.0246936636505856,0.5821918444187609,360
