epsilon,mean,median,std,min,max,count
0.001,0.1823534304399468,0.16464916274239966,0.10362327843569895,0.0290822323340618,0.5797494518269934,390
0.01,0.18267879270626128,0.1611732544314367,0.10220733639229686,0.0350524808978683,0.5797669378902477,390
0.1,0.21987878597864036,0.1941054838797127,0.08263348842822218,0.1169752811911738,0.5645627496480484,390
0.2,0.2578378627505906,0.2430689748689005,0.07110572879179461,0.1172464123782687,0.5218863624786438,390
