gamma,mean,median,std,min,max,count
nan,0.15114204172440676,0.1624001134858944,0.07059213532962999,0.0290822323340618,0.33340214815982,120
scale,0.19897633588269575,0.1904208753641575,0.06794221876769499,0.0471124141647963,0.3864992074315539,360
1,0.21155003595958835,0.2145374818574212,0.07558247832584357,0.0471145520581493,0.4375665081850234,360
0.1,0.22456484212470929,0.1907287519057823,0.11311776215216789,0.0470942558446067,0.5740975942760068,360
auto,0.22750604998993004,0.19525079104185522,0.11613163199964731,0.047084021253045,0.5797669378902477,360
