kernel,mean,median,std,min,max,count
linear,0.13897701543871718,0.15085043351156974,0.06679916309112442,0.0237683815278588,0.266549221356919,120
rbf,0.17004510169786713,0.1607266004246809,0.08245695283413022,0.0246936636505856,0.4071420939586821,480
poly,0.20421048928555965,0.1884812603606011,0.10540424400625178,0.0381883936995181,0.5821918444187609,960
