kernel,mean,median,std,min,max,count
linear,0.15114204172440676,0.1624001134858944,0.07059213532962999,0.0290822323340618,0.33340214815982,120
rbf,0.20882627587983246,0.1880041303742046,0.0881907800093139,0.047084021253045,0.4375665081850234,480
poly,0.21906083604393004,0.20987556714558794,0.09989419680912827,0.0470942558446067,0.5797669378902477,960
