param,best_value,best_median_MAE,worst_value,worst_median_MAE,max_median_gap
epsilon,0.01,0.1433770417126321,0.2,0.2284227560475936,0.0850457143349615
C,100.0,0.16208249567411825,0.1,0.2452556346348121,0.08317313896069384
kernel,linear,0.15085043351156974,poly,0.1884812603606011,0.03763082684903135
gamma,nan,0.15085043351156974,0.1,0.18714608476658734,0.0362956512550176
