Country,mean,std,min,max,n_obs
Canada,226.6544,7.7627,212.16,243.07,34
China,152.9335,4.3109,146.48,162.48,34
India,13.1321,0.4157,12.15,13.9,34
Indonesia,0.0,0.0,0.0,0.0,34
Russian Federation,223.5332,5.9199,210.97,237.97,34
United States,115.1265,5.9279,102.06,126.01,34
