Country,mean,std,min,max,n_obs
Canada,1.2277,0.8139,-0.0038,3.1037,34
China,1.0623,0.4741,0.1706,2.0091,34
India,0.5348,0.3182,-0.0755,1.0887,34
Indonesia,0.6057,0.3386,0.0715,1.3727,34
Russian Federation,1.5386,0.7791,0.1759,3.5404,32
United States,0.8905,0.4563,-0.0101,1.9915,34
