Country,mean,std,min,max,n_obs
Canada,0.0562,0.1009,0.0,0.56,34
China,5.7338,1.4482,1.94,10.45,34
India,78.1238,8.2434,57.48,93.89,34
Indonesia,1.5715,1.2645,0.22,5.58,34
Russian Federation,0.4938,0.4512,0.03,2.49,34
United States,12.55,3.3756,6.54,21.09,34
