feature_set,model,country,year,MAPE_pct
augmented,LSTCN,Canada,2020,7.1082
augmented,LSTCN,Canada,2021,9.2324
augmented,LSTCN,Canada,2022,8.0088
augmented,LSTCN,Canada,2023,6.9359
augmented,LSTCN,Russian Federation,2017,0.9364
augmented,LSTCN,Russian Federation,2018,3.9601
augmented,LSTCN,Russian Federation,2019,6.4212
augmented,LSTCN,Russian Federation,2020,1.0865
augmented,LSTCN,Russian Federation,2021,12.6648
augmented,LSTCN,Russian Federation,2022,2.3744
augmented,LSTCN,Russian Federation,2023,6.1459
augmented,LSTCN,China,2017,1.9121
augmented,LSTCN,China,2018,0.4794
augmented,LSTCN,China,2019,0.2544
augmented,LSTCN,China,2020,2.3867
augmented,LSTCN,China,2021,5.11
augmented,LSTCN,China,2022,0.6218
augmented,LSTCN,China,2023,2.667
augmented,LSTCN,United States,2017,3.9617
augmented,LSTCN,United States,2018,2.8806
augmented,LSTCN,United States,2019,0.1805
augmented,LSTCN,United States,2020,11.5305
augmented,LSTCN,United States,2021,6.104
augmented,LSTCN,United States,2022,0.4753
augmented,LSTCN,United States,2023,0.6845
augmented,LSTCN,India,2017,1.7584
augmented,LSTCN,India,2018,3.7709
augmented,LSTCN,India,2019,2.8235
augmented,LSTCN,India,2020,1.3236
augmented,LSTCN,India,2021,13.2134
augmented,LSTCN,India,2022,9.4127
augmented,LSTCN,India,2023,11.5568
augmented,LSTCN,Indonesia,2017,2.0602
augmented,LSTCN,Indonesia,2018,10.7571
augmented,LSTCN,Indonesia,2019,9.5355
augmented,LSTCN,Indonesia,2020,8.4675
augmented,LSTCN,Indonesia,2021,1.8146
augmented,LSTCN,Indonesia,2022,15.5187
augmented,LSTCN,Indonesia,2023,14.3758
augmented,Average,Canada,2017,4.3587
augmented,Average,Canada,2018,5.6987
augmented,Average,Canada,2019,4.5606
augmented,Average,Canada,2020,11.6889
augmented,Average,Canada,2021,9.6817
augmented,Average,Canada,2022,5.2953
augmented,Average,Canada,2023,2.5081
augmented,Average,Russian Federation,2017,2.0314
augmented,Average,Russian Federation,2018,2.9725
augmented,Average,Russian Federation,2019,4.2493
augmented,Average,Russian Federation,2020,3.7636
augmented,Average,Russian Federation,2021,8.0531
augmented,Average,Russian Federation,2022,1.7142
augmented,Average,Russian Federation,2023,5.5983
augmented,Average,China,2017,1.8416
augmented,Average,China,2018,2.9055
augmented,Average,China,2019,2.1036
augmented,Average,China,2020,1.78
augmented,Average,China,2021,4.2511
augmented,Average,China,2022,2.6473
augmented,Average,China,2023,2.852
augmented,Average,United States,2017,2.5006
augmented,Average,United States,2018,1.5595
augmented,Average,United States,2019,2.1208
augmented,Average,United States,2020,9.1573
augmented,Average,United States,2021,2.322
augmented,Average,United States,2022,0.5102
augmented,Average,United States,2023,1.3374
augmented,Average,India,2017,2.1447
augmented,Average,India,2018,2.3659
augmented,Average,India,2019,2.2058
augmented,Average,India,2020,2.9941
augmented,Average,India,2021,5.8637
augmented,Average,India,2022,5.1056
augmented,Average,India,2023,5.1437
augmented,Average,Indonesia,2017,2.3755
augmented,Average,Indonesia,2018,9.1722
augmented,Average,Indonesia,2019,7.5203
augmented,Average,Indonesia,2020,4.1952
augmented,Average,Indonesia,2021,1.3758
augmented,Average,Indonesia,2022,11.5216
augmented,Average,Indonesia,2023,7.8704
