param,baseline_gap,augmented_gap
n_estimators,0.07090476639973839,0.07136470963799979
learning_rate,0.13793632121440408,0.13586996174518334
subsample,0.018670617859621902,0.014699917676269436
colsample_bytree,0.00452530294593631,0.0005275394614533968
reg_lambda,0.07940653968313338,0.07745441418501003
reg_alpha,0.14166587367227834,0.1419103685414995
min_child_weight,0.01661675583896538,0.011749992387052655
