param,best_value,best_median_MAE,worst_value,worst_median_MAE,max_median_gap
reg_alpha,0.0,0.18363315415088843,1.0,0.3252990278231668,0.14166587367227834
learning_rate,0.1,0.18632230968832325,0.01,0.32425863090272733,0.13793632121440408
reg_lambda,0.0,0.1982576254567685,10.0,0.2776641651399019,0.07940653968313338
n_estimators,150,0.2048086799497472,50,0.2757134463494856,0.07090476639973839
subsample,1.0,0.21509733742400744,0.8,0.23376795528362934,0.018670617859621902
min_child_weight,1,0.2161440406535831,3,0.2327607964925485,0.01661675583896538
colsample_bytree,0.8,0.2230422658266201,1.0,0.2275675687725564,0.00452530294593631
