param,best_value,best_median_MAE,worst_value,worst_median_MAE,max_median_gap
reg_alpha,0.0,0.18351374782436705,1.0,0.32542411636586654,0.1419103685414995
learning_rate,0.1,0.186613429423787,0.01,0.32248339116897035,0.13586996174518334
reg_lambda,0.0,0.20010863590651157,10.0,0.2775630500915216,0.07745441418501003
n_estimators,150,0.2026219657410504,50,0.2739866753790502,0.07136470963799979
subsample,1.0,0.2160532617462611,0.8,0.23075317942253054,0.014699917676269436
min_child_weight,1,0.21529582920293444,3,0.2270458215899871,0.011749992387052655
colsample_bytree,1.0,0.22111999528169257,0.8,0.22164753474314597,0.0005275394614533968
