n_estimators,mean,median,std,min,max,count
150,0.22661609155740103,0.2026219657410504,0.09079158288126542,0.0501080043097183,0.456132286157862,1728
100,0.24162781844000675,0.21470458617052213,0.09533623394108348,0.0503493133415624,0.4773077515181459,1728
50,0.27219113690551117,0.2739866753790502,0.10104115378867977,0.0512665646914549,0.5053805245081268,1728
