reg_lambda,mean,median,std,min,max,count
0.0,0.2209507258345766,0.1982576254567685,0.09518026941875744,0.050000542725203,0.4704886003624953,1296
1.0,0.23233968794544346,0.208454288652221,0.09600157928486422,0.0502803991031989,0.4772567833361055,1296
5.0,0.2574865650791003,0.2410284601494255,0.09666437196687115,0.0575520613373819,0.492999168228761,1296
10.0,0.2772755932601485,0.2776641651399019,0.09603890107895574,0.0757924665802558,0.5050752210658349,1296
