param,best_value,best_median_MAE,worst_value,worst_median_MAE,max_median_gap
p,1,0.1322887831228761,3,0.1586799159600243,0.026391132837148196
q,2,0.1437515327856238,3,0.1698096148366809,0.026058082051057085
d,0,0.1422564183629881,1,0.1552078161706201,0.012951397807631992
trend,c,0.1447966778136192,n,0.1555334292923573,0.010736751478738094
