q,mean,median,std,min,max,count
0,0.12888320230293174,0.14735152503096835,0.08445229697730258,0.0218459408700235,0.3064807100189936,96
1,0.14057583539910892,0.14459124792357925,0.09534130197166231,0.022475151391517,0.3934278602302801,94
2,0.1458739951884016,0.1437515327856238,0.11494695285441348,0.0213326627901314,0.8500922208040234,95
3,0.16850613284649388,0.1698096148366809,0.22382066954429666,0.0227687996041879,1.7717483854321852,77
