param,best_value,best_median_MAE,worst_value,worst_median_MAE,max_median_gap
trend,n,0.1849373987229857,c,0.2579987790194807,0.073061380296495
q,0,0.20547392116140833,3,0.2579987790194807,0.05252485785807237
d,1,0.20802773334190933,0,0.24553333271264505,0.03750559937073572
p,0,0.2025259955845098,3,0.2352384202793453,0.03271242469483551
