alpha,mean,median,std,min,max,count
0.1,0.1438449164588425,0.1393736942771045,0.06180979175072843,0.0534686442077092,0.3211126287076667,90
0.01,0.16191481662398596,0.1418574834345624,0.07183910087424136,0.0569226100812907,0.3408948616756635,90
0.001,0.2083568497197762,0.17546426979544233,0.09670460487234178,0.0795581656570603,0.4311703101144144,90
0.0001,0.22374994248893043,0.190237798923861,0.11082420421022464,0.090029843555102,0.5146856087554275,90
0.0,0.2479225978383255,0.24083911050372953,0.11510371477497289,0.0621895161737099,0.5094248633823544,90
