param,best_value,best_median_MAE,worst_value,worst_median_MAE,max_median_gap
alpha,0.01,0.11389021365370985,0.0,0.23110083165482048,0.11721061800111063
n_blocks,5,0.12806252666706885,1,0.16645050034196074,0.038387973674891884
solver,lsqr,0.1329234415219424,cholesky,0.14268695473811036,0.009763513216167946
