solver,mean,median,std,min,max,count
lsqr,0.19643683671901685,0.16963062734079343,0.10067338575579518,0.0534692514466708,0.514685501140078,150
svd,0.19745471391753977,0.16962992769149476,0.10117553107596479,0.0534686442077092,0.5146856087554241,150
cholesky,0.1975819232413597,0.16962992769098065,0.10175833041520778,0.0534686442077092,0.5146856087554275,150
