solver,mean,median,std,min,max,count
lsqr,0.16439969148143882,0.1329234415219424,0.1110063443658498,0.0367984254915758,0.5470279353663685,150
cholesky,0.16754763956724333,0.14268695473811036,0.11509402170986942,0.036799274028801,0.6526183802766927,150
svd,0.16815585034397046,0.13766892356179083,0.11629195937233286,0.0367992740288018,0.6525027524547057,150
