param,best_value,best_median_MAE,worst_value,worst_median_MAE,max_median_gap
alpha,0.1,0.1393736942771045,0.0,0.24083911050372953,0.10146541622662503
n_blocks,5,0.1539433571596571,2,0.225014319065206,0.0710709619055489
solver,cholesky,0.16962992769098065,lsqr,0.16963062734079343,6.996498127798123e-07
