alpha,mean,median,std,min,max,count
0.01,0.11421401863424531,0.11389021365370985,0.05834427784275525,0.0367984254915758,0.2178992834437011,90
0.1,0.12495384905209106,0.12215493297330975,0.0485392446433993,0.039291018237889,0.2319313467060902,90
0.001,0.14751691228264982,0.13202186890384798,0.09606600889561961,0.0387866045996879,0.3553709052999728,90
0.0001,0.1921233307656513,0.15360245920273444,0.1267067318809211,0.0430694495043512,0.4038382560284857,90
0.0,0.2546971915864502,0.23110083165482048,0.1449607415181694,0.0726261634928756,0.6526183802766927,90
