n_blocks,mean,median,std,min,max,count
5,0.14443458091373698,0.12806252666706885,0.0790154042261616,0.039377985974901,0.348627982819311,90
1,0.14848775449016852,0.16645050034196074,0.09627813581322282,0.0367984254915758,0.3824430050126105,90
4,0.16199022228930743,0.14021955761413235,0.10647391409897114,0.0395314404422339,0.4810028391744764,90
3,0.17887819372353317,0.1329086490320731,0.1270995013219881,0.0387866045996879,0.5065759963229682,90
2,0.19971455090434162,0.15002596282751662,0.14263963547829286,0.0448974099330957,0.6526183802766927,90
