country,feature_set,best_n_steps,best_n_blocks,best_function,best_solver,best_alpha,RMSE_absolute,RMSE_scaled_y,RMSE_relative,MAE_absolute,MAE_scaled_y,MAE_relative,MAPE,Accuracy,R_squared
Canada,baseline,1.0,3.0,hyperbolic,lsqr,0.01,33.68679981924655,0.34059352368571433,0.05798550884436805,26.161233122161644,0.26450558143993347,0.04503165699099664,0.04546023778193404,0.9545397622180659,-1.2342661361114473
Canada,augmented,1.0,5.0,hyperbolic,lsqr,0.01,44.141133931677075,0.4462930413675963,0.0759806845924655,42.136715082980736,0.426027178113067,0.07253045341875529,0.0726192148004975,0.9273807851995025,-2.8362099060108568
China,baseline,1.0,1.0,hyperbolic,lsqr,0.01,525.5279865624844,0.08918199545929265,0.04358855765351248,480.6332906710551,0.0815633744390785,0.039864883386418415,0.03950669167485043,0.9604933083251496,0.32279816372514003
China,augmented,1.0,1.0,hyperbolic,cholesky,0.01,308.86628475207726,0.05241454748102782,0.025618113981340535,235.3874922708128,0.039945210918608,0.01952360585946097,0.0191878553876438,0.9808121446123562,0.766079955776825
India,baseline,1.0,1.0,hyperbolic,lsqr,0.01,246.73621516310007,0.18399103905235042,0.09424657599753386,215.84437887938915,0.16095501634154605,0.08244672815561258,0.08025862429375448,0.9197413757062455,-0.4159546649347441
India,augmented,1.0,1.0,hyperbolic,cholesky,0.1,215.91115658181945,0.16100481243186693,0.08247223543593978,171.20786592678456,0.12766959696200933,0.06539678472727674,0.06265612961255294,0.937343870387447,-0.08426070629862714
Indonesia,baseline,1.0,4.0,hyperbolic,cholesky,0.01,61.30117916206812,0.18065384578136634,0.0956972660913055,56.58606405991481,0.1667584576640547,0.08833650026673705,0.08625137306432897,0.913748626935671,0.3321921545263997
Indonesia,augmented,1.0,1.0,hyperbolic,svd,0.1,71.23904765108979,0.2099406260024248,0.11121127182780172,60.143050315543015,0.1772408538471987,0.09388931123776316,0.08932781607805149,0.9106721839219485,0.0981172717083586
Russian Federation,baseline,1.0,5.0,hyperbolic,lsqr,0.1,78.28642393879272,0.23561165837880124,0.04209332603165786,66.68550356748986,0.20069740441389805,0.03585570143612976,0.035526228123957844,0.9644737718760421,-0.3769449918263599
Russian Federation,augmented,1.0,5.0,hyperbolic,svd,0.1,117.58002149537637,0.35387008963904304,0.06322084891096562,91.1379294211694,0.27428968666291825,0.04900336972825415,0.04798468144704144,0.9520153185529585,-2.106066507735636
United States,baseline,1.0,3.0,hyperbolic,lsqr,0.01,234.14078545039075,0.28829452565704977,0.04863309305196042,149.12673825775514,0.183617827138073,0.03097493042177137,0.032106807896161896,0.9678931921038381,-0.2798040632509846
United States,augmented,1.0,3.0,hyperbolic,lsqr,0.01,242.44117370086354,0.29851468652665786,0.05035715643278551,173.2346660096803,0.21330160727251862,0.03598235828784782,0.03688142174580044,0.9631185782541996,-0.3721516068872974
BASELINE_AVG,baseline,,,,,,196.61323168268044,0.21972109800242912,0.06370738794505636,165.83953475962764,0.17634961023943063,0.053751733442944295,0.05318499380583127,0.9468150061941686,-0.27532992297866604
AUGMENTED_AVG,augmented,,,,,,166.6964696854839,0.2536729672414361,0.06814338519688311,128.87461983782848,0.20974568896271997,0.05605431387655968,0.05477618651193127,0.9452238134880688,-0.7557485832412056
OVERALL_AVG,all,,,,,,181.65485068408216,0.23669703262193265,0.06592538657096973,147.35707729872803,0.19304764960107532,0.054903023659752,0.053980590158881285,0.9460194098411189,-0.5155392531099358
