Population,GDP,Electric power consumption,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,CO2 emissions lag1
0.8999999999999986,-0.6730141270546182,0.07414173721757145,0.7604931024636059,0.9000000000000004,0.9000000000000001,-0.7108782880071334,0.13975325664334015,0.7953333333333337,-0.8926829268292683,0.9000000000000004
0.875334684534451,-0.6946554126119646,-0.22389843586989588,0.6559092914633311,0.9000000000000004,0.21837889035808122,-0.5821221578243425,0.4171886109984939,0.7093333333333351,-0.9,0.46938030633482164
0.8595376400726664,-0.729002839520579,-0.6381667271992191,0.7617763022133417,0.6750000000000007,-0.8014348776722486,-0.7000891662951405,-0.9000000000000001,0.19666666666666544,-0.8707317073170732,0.028624042401579786
0.8495606410883951,-0.7286080065986746,-0.7048672310476669,0.5889631274394063,0.6750000000000007,-0.6897881107021471,0.22661613909942047,0.5520163262316449,-0.10933333333333195,-0.8048780487804879,-0.42483498893481375
0.7825841540238159,-0.7318810449697173,-0.7703737915262656,0.5882342461885912,0.22500000000000142,-0.7572169731156303,-0.6234061524743648,-0.4260112735896635,0.9000000000000004,-0.6292682926829269,-0.5309578184780337
0.7065670306811924,-0.7205447222490795,-0.8325821636074568,0.4436827819960172,0.4499999999999993,-0.7786220563563638,-0.38586714222024066,0.2849358575305909,-0.07466666666666733,-0.8853658536585366,-0.6256808988100886
0.6306092258383629,-0.8355677972995652,-0.9000000000000004,0.4724156941293316,0.0,-0.9,-0.9,-0.13842096145099037,0.6513333333333335,-0.2560975609756099,-0.8999999999999999
0.48898770512804646,-0.9000000000000001,-0.7839342451944993,-0.031155985142284237,0.4499999999999993,-0.8506891066898988,-0.674275523851984,0.012920207774252734,0.16266666666666652,-0.6365853658536587,-0.886629123813822
0.2970855257856897,-0.8452220478650196,-0.6303223879196231,-0.14077953460338932,-0.22499999999999964,-0.8207824546448159,-0.4915737851092288,0.2574775553757216,0.0693333333333328,-0.6585365853658538,-0.7774368404168417
0.10441313765014826,-0.8049630748813592,-0.5718596881924816,-0.2743037953286347,0.0,-0.7343860322042669,-0.4921533660276416,-0.5255980149537816,0.13466666666666782,-0.6000000000000001,-0.7310930327869891
-0.10366280521292026,-0.7715926660246113,-0.5487294365404853,-0.37980505197450043,-0.22499999999999964,-0.8164852197237649,-0.28805171645118155,0.8999999999999999,0.21333333333333293,-0.5926829268292684,-0.723938682155298
-0.3079790111202385,-0.6987217482298543,-0.415025114491705,-0.2689437984876051,-0.6750000000000007,-0.8442572578755254,-0.14409273294694624,-0.7700783453931801,0.0039999999999995595,-0.8487804878048781,-0.7445042061444536
-0.4885128465616049,-0.5607794617909239,-0.2951750707648362,-0.41240015693100673,-0.22499999999999964,-0.820634957890822,-0.46032099866250564,-0.4566503982931245,0.08399999999999963,-0.7682926829268293,-0.6026451124288532
-0.6588600495770152,-0.41225126761082276,-0.19030283889868294,-0.40713874789930316,0.0,-0.799475098619305,0.02340615247436484,-0.541961861138653,-0.46799999999999997,-0.7829268292682927,-0.5989405202049354
-0.8045714410927474,-0.2182914458132026,0.062483851766774734,-0.4541777378736853,-0.22499999999999964,-0.7604280074705776,-0.6069103878733839,0.10032748263300251,0.11000000000000121,-0.5487804878048781,-0.5979520947024226
-0.8805124752602396,0.047662186933026485,0.20681024671993686,-0.4971371119450083,0.22500000000000142,-0.6598451167961215,0.3188586714222025,0.3292450202080941,-0.42933333333333223,-0.2707317073170733,-0.5134773177042726
-0.8999999999999986,0.3577221561221653,0.2942718207875963,-0.23363108587152226,-0.6750000000000007,-0.5673661813361541,0.14369148461881387,0.030676077934649548,-0.261333333333333,-0.578048780487805,-0.5069539841411297
-0.8866511635691268,-0.018495445570702707,0.060056943904513105,-0.704473611532805,0.0,-0.5814217506221775,-0.5441373160945164,-0.45031207467059975,-0.13666666666666671,-0.6365853658536587,-0.5405895292990204
-0.8667375394486143,0.24101856868967153,0.30213068119740427,-0.8999999999999986,-0.6750000000000007,-0.5763462579626376,-0.48421756576014285,-0.03186217806604308,-0.2693333333333321,0.8999999999999998,-0.7747110573250158
-0.8143363220908313,0.6883272787455601,0.35852229614014863,0.2206468497320131,-0.8999999999999995,-0.5500871144143382,0.07458760588497515,-0.2799654260441726,-0.48066666666666613,-0.4756097560975611,-0.5805631784088567
-0.7024535567030838,0.8277304103640766,0.45536045538145054,0.8746898219177339,-0.8999999999999995,-0.5928556040307547,-0.17026304057066421,-0.3828520633561723,-0.49333333333333407,-0.44634146341463427,-0.384307940603394
-0.5697816758287146,0.8999999999999999,0.3912074936577037,0.8094307828333669,0.0,-0.6005341526682572,-0.09469460543914399,0.5269657289103806,-0.20400000000000063,-0.826829268292683,-0.41363855726968346
-0.43574515889093846,0.6997621396423512,0.43578398513452665,0.9000000000000057,-0.6750000000000007,-0.5663585467640397,-0.16571555951850192,0.18256984793030195,0.03533333333333388,-0.5487804878048781,-0.5408374942791498
-0.3104331199443209,0.10241926765371323,0.42027021881102744,0.8613735339121362,-0.8999999999999995,-0.5231095647359202,0.25706642888987974,-0.07895559864795443,-0.17999999999999972,-0.4243902439024391,-0.5730026506074974
-0.1940496022054461,0.02798673207438651,0.5127987505450635,0.8569347712436013,-0.4500000000000002,-0.40821729813297125,0.16281765492643785,0.33618580095277295,-0.23199999999999932,-0.4682926829268294,-0.5571699835936581
-0.10777379464653336,0.2833300865753139,0.5517308495671314,0.8727694347232102,-0.8999999999999995,-0.3150862063077995,0.2761925991975033,0.7159829462465135,0.12466666666666804,-0.49756097560975626,-0.608630616132046
-0.07521197564249604,0.3547006810382576,0.658840720685645,0.863692579959654,-0.8999999999999995,-0.2875162048207769,-0.03094070441373198,-0.630103483201063,-0.21333333333333293,-0.5926829268292684,-0.5431433625292783
-0.05807327715387345,0.3854248778217422,0.681238294208578,0.8644655953088289,-0.8999999999999995,-0.18665431663954868,0.2616139099420419,-0.27642737486742686,-0.2560000000000002,-0.6439024390243904,-0.38769542156463377
-0.12271584523427492,0.21368169452074937,0.5795513477582297,0.8669758699972263,0.22500000000000142,-0.03136849933454067,0.9000000000000002,0.78702036741109,-0.9000000000000004,-0.3365853658536586,-0.3261753786827457
-0.2774986192661615,0.5022489828936907,0.8999999999999995,0.8650446817552506,-0.22499999999999964,0.09206906844450602,-0.14993312527864455,-0.3470491450914781,-0.3513333333333346,-0.05121951219512222,-0.49515538451871155
-0.43583522362884963,0.8992634026939903,0.8982656083435421,0.865495382353771,-0.2999999999999998,0.13234692797734837,0.29103878733838606,-0.30374988460065344,-0.32333333333333236,-0.6000000000000001,-0.1419586918378135
-0.563417515106984,0.710291488758277,0.7926056520339237,0.8658386447020732,-0.09999999999999964,0.16164576915152673,0.29300044583147533,-0.28851922024711674,-0.570666666666666,-0.35853658536585375,-0.24038155620857538
