Population,GDP,Electric power consumption,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,CO2 emissions lag1
-0.8999999999999999,-0.9000000000000001,-0.9000000000000001,-0.9000000000000004,0.9000000000000008,-0.856351445423988,-0.5691195418754473,-0.5796503824351287,0.9000000000000004,-0.17473648418905174,-0.8999999999999999
-0.838187240369344,-0.8903262473945778,-0.8748721207560218,-0.7782811234544775,0.8538461538461539,-0.9,-0.7319828198138869,-0.5484255629251069,0.6222857142857148,-0.10129207752465152,-0.8627181081864919
-0.7759462067552807,-0.8950888752608605,-0.8428395928038601,-0.7091231871070969,0.8538461538461539,-0.8804755831323348,-0.47274158911954195,-0.47529193581738594,0.7457142857142856,-0.3595715742944572,-0.8437294237720252
-0.7140817672299287,-0.8694496256578644,-0.8030420777280246,-0.6382643551255569,0.7615384615384619,-0.7841269402356801,-0.6706513963636364,0.14929154641710474,-0.03599999999999959,-0.5156409384563068,-0.8191810838591183
-0.6519188219042689,-0.8518113630089011,-0.7687023586872401,-0.42226222924696355,0.66923076923077,-0.7543856103101696,-0.37198282032927704,0.19790307785163463,0.5708571428571432,-0.24267256035362106,-0.7832021203052412
-0.5889758479882472,-0.8343825526076404,-0.7685159291148661,-0.36829624921014936,0.6323076923076925,-0.7101835409501747,-0.4142448103078024,-0.3721744669090752,0.5091428571428569,-0.03458007480448799,-0.7402940029939276
-0.5257798667184934,-0.8221072170610679,-0.738358037145891,-0.2806148708507772,0.5215384615384617,-0.562861132957003,-0.9,0.20677887538459094,0.7765714285714278,-0.8999999999999999,-0.7100739154512965
-0.4623369718399757,-0.8191770369731487,-0.7177780395314598,-0.2607942303574786,0.5307692307692311,-0.5113008104186911,0.14649964209019328,-0.34914553613698107,-0.08742857142857119,-0.3216252975178504,-0.6740211211995941
-0.3987984967665219,-0.7991539254080432,-0.710658038651674,-0.09573100835990633,0.4476923076923085,-0.40404665841866505,-0.0716392269148175,0.12750953868322012,0.07714285714285651,0.01071064263855881,-0.6553272700911389
-0.3348177152052556,-0.7940375118615327,-0.7069066191095533,-0.06721361885261512,0.42923076923076975,-0.5150312247665765,-0.24919112383679332,0.45930804818747983,0.14914285714285747,-0.2800068004080245,-0.6055639113010958
-0.26993088861649817,-0.7849291935021293,-0.7072518542912913,-0.08110658497460133,0.4476923076923085,-0.4568436534942919,-0.03143879742304945,0.41168018097099246,-0.09771428571428586,-0.6747704862291739,-0.5767686338551683
-0.2059342067985046,-0.7691654902302676,-0.672596916028807,0.01042794043229378,0.3276923076923075,-0.5607897345578479,0.5193843951324265,-0.46531478167703755,0.31371428571428517,0.6802788167290039,-0.5636283196790353
-0.14355899060933108,-0.7195954897077717,-0.6381925443685647,0.036358682428544675,0.30923076923076964,-0.4966184826432267,0.1262705798138869,-0.8108459604368417,0.2828571428571429,-0.09761985719143151,-0.5325569356371713
-0.0812296366724028,-0.6653814546700528,-0.5926601058828642,0.13301346296927985,0.2446153846153849,-0.363007835502112,0.12008589835361494,0.31274564041699326,0.3548571428571421,0.2708262495749745,-0.5065086496356302
-0.020536427273416535,-0.6059417123371736,-0.5578649329309522,0.1703256716277446,0.18000000000000016,-0.19963185663174166,-0.034531138153185426,-0.4591533842910538,0.5194285714285716,0.12087725263515825,-0.43713022842238936
0.03859033560777103,-0.5418821985626066,-0.47395611310305275,0.24925000299342326,0.08769230769230818,-0.083294192245559,0.31812455261274153,0.6948631891000292,-0.22114285714285664,-0.147806868412105,-0.3966083518971383
0.09640013170920181,-0.3941384061662683,-0.40810218340396975,0.35230354009619536,-0.06923076923076898,0.0018320827160600572,0.09315676449534704,-0.8999999999999999,-0.26228571428571534,-0.11965317919075069,-0.3297516773142557
0.15244875755635734,-0.40367245633280724,-0.3637668844760753,0.40747402501063146,-0.26307692307692276,0.1410000853855642,-0.23308518253400157,0.9000000000000004,-0.1491428571428557,-0.6178510710642637,-0.2354549468901661
0.20959804497473966,-0.3272597910411237,-0.29675928911848626,0.8758275296815201,-0.4476923076923076,0.32773568586266566,0.9000000000000002,-0.4461850353262726,0.4577142857142871,0.9000000000000004,-0.1501989281813132
0.26792652401677897,-0.14892218216826814,-0.21290504263381616,0.7934613178718033,-0.5584615384615379,0.48099254863014784,0.8320973514674302,0.599469404533981,0.07714285714285651,0.6331519891193471,-0.06746832724248963
0.3255617551137564,-0.0701350313841792,-0.11465641084418632,0.8008598036466887,-0.6692307692307691,0.503658472481679,-0.1588690050107373,-0.02263111627617076,0.02571428571428669,-0.45933356001359993,0.021352449667655593
0.38224250955345385,-0.06768448847368647,-0.05275446619843738,0.8194211249718739,-0.6876923076923078,0.27035295993838626,-0.02551181102362199,-0.5158813241059941,0.3857142857142861,0.525433526011561,0.11565138277554765
0.437966523295231,-0.052142598118847694,0.016854180782562178,0.8088945238607836,-0.6784615384615384,0.18264535979701946,-0.19404438081603437,-0.5224280943026558,-0.005142857142857338,-0.5939816388983337,0.25404837193340324
0.4913929450674588,0.04533113786931775,0.14694083371230104,0.8999999999999995,-0.7707692307692304,0.27533055100747306,-0.024609878310665856,0.242166009512657,0.5194285714285716,0.5419585175110511,0.3008252178107562
0.5425443698008405,0.0797783369034668,0.21308560823878064,0.8427718825625083,-0.8169230769230769,0.37513355854888775,0.4463278453829632,0.6731322562374835,0.17999999999999972,0.09700782046922818,0.4354655705338557
0.5942560909965757,0.18195652419827568,0.29147081724017676,0.8505554689350001,-0.8538461538461535,0.3084870441379095,0.8859556191839649,-0.0931605978342791,-0.7765714285714296,0.4538252295137708,0.46855877356378817
0.6452964153252876,0.37255810811051293,0.36886296905460947,0.864442450626405,-0.8999999999999999,0.3689268280659166,0.6473299928418038,-0.6409432114179769,-0.37542857142857144,0.4905474328459709,0.4960902815732404
0.6940257940674104,0.4000548806779738,0.47480215589890773,0.8525899341685426,-0.8630769230769229,0.4417515444139346,0.48214745884037213,-0.5300256513755641,-0.2931428571428576,0.4715742944576675,0.6015126863029736
0.740707414638901,0.4709547318432259,0.5099763680396026,0.855862617909982,-0.8076923076923075,0.579217099500142,0.4240372226198995,-0.08474798388623084,0.30342857142857227,0.5046242774566476,0.6957527995952502
0.7848428340377942,0.38505049958620763,0.33474548745190336,0.8576316675683087,-0.5676923076923073,0.8999999999999997,0.08607015032211884,0.08710122962298383,-0.15942857142857214,-0.609282556953417,0.6914830194153887
0.8224778841703233,0.6481898403215123,0.4597338739617103,0.855361406548945,-0.6784615384615384,0.6737801569185404,0.32353614889047944,0.6656569413986153,-0.4062857142857137,-0.24634478068684107,0.5327869121423308
0.8589211946318538,0.7437567411088049,0.7057624248185359,0.8562852306757458,-0.684615384615384,0.6758179708837939,0.5325268432355045,0.4422521797129946,-0.9000000000000004,0.22675960557633434,0.7293766862598261
0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8564261015976671,-0.6435897435897431,0.7471116151010031,0.598754473872584,0.8439854658503823,-0.37542857142857144,-0.31060863651819126,0.9000000000000004
