Population,GDP,Electric power consumption,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,CO2 emissions lag1
-0.9000000000000004,-0.9,-0.7729979882402418,0.562899628975515,-0.7956521739130435,-0.8564290128375829,-0.25191306901235067,0.07881019379552034,0.29348643006263053,-0.6241237113402063,-0.26376047115610923
-0.8241350137168126,-0.8691512330563872,-0.9000000000000004,0.5117445778762431,-0.7173913043478262,-0.7539347325670303,-0.6604146719780865,0.5674593391087184,0.2754488517745308,-0.8999999999999999,-0.318642630483426
-0.7510186032174486,-0.8403440037815717,-0.637326574292123,0.7445611093796742,-0.8478260869565217,-0.44864606509063965,-0.7465964447556679,-0.3997104497221904,0.4783716075156583,-0.47319587628865967,-0.2226549367874311
-0.6821538958836868,-0.8038330998241229,-0.4310379784019549,0.6620790370246965,-0.9000000000000001,-0.4890001895518399,-0.4624214166055909,-0.37000662792170025,0.20329853862212843,-0.4212371134020618,-0.07663770930255875
-0.6144702172070362,-0.7738096353423644,-0.21323628701789943,0.4713129307813091,-0.7434782608695651,-0.454539373041948,-0.38740580395310487,-0.2630193832315202,0.013152400835071631,-0.3927835051546391,0.024719996765818486
-0.5475595754695863,-0.7368992815865567,-0.0058260098344877775,0.4888184590410205,-0.7173913043478262,-0.24628388400186907,-0.9,-0.47082370974412124,0.9000000000000004,-0.5325773195876289,0.09067918411360498
-0.47749236623040137,-0.6939367097771514,0.03202872400065537,0.8999999999999986,-0.7956521739130435,-0.2012399369920459,-0.5225987762059368,-0.11849243321948388,0.47311064718162754,-0.8505154639175256,0.28154037982059954
-0.40884239137975076,-0.6526060053742606,0.3142671461002635,0.7398107371839515,-0.7956521739130435,-0.2764660097393383,0.31381406376848575,-0.23805569211893585,-0.2957411273486432,0.10206185567010317,0.617735069293075
-0.3404286222605224,-0.604199333114729,0.44967787943452464,0.6086792242729118,-0.4826086956521738,-0.30564721018208907,-0.240971730903197,-0.21234990730482228,0.029686847599165844,-0.5177319587628866,0.6735848971420388
-0.2733803155281489,-0.5514165988851177,0.8642848157294623,0.6433241263600564,-0.5608695652173912,-0.46080145328361244,-0.11657021541555779,0.8999999999999999,0.5805845511482257,0.15030927835051533,0.6945103749276011
-0.213114699320065,-0.5232251525617168,0.19905300303447326,0.8536708319935187,-0.7434782608695651,-0.3898580849688278,-0.022969316111906224,-0.3221595282003116,0.2754488517745308,-0.3061855670103093,0.9000000000000004
-0.15607664117263198,-0.4936539436085903,0.46492520605481324,0.8081621246492574,-0.7173913043478262,-0.29956177652228444,0.02184520573243587,-0.013154547798365446,0.5911064718162837,-0.29876288659793815,0.8370418286692738
-0.10276414866068162,-0.44874352171635656,0.4769737678701773,0.8211366467528833,-0.5869565217391304,0.3211993981521166,-0.05616803379927027,-0.48790915137831203,0.14467640918580216,-0.16762886597938143,0.6512372827710307
-0.04484296022995782,-0.3839457804388837,0.5633695061906465,0.7549313357611069,-0.5347826086956522,0.07104207911097493,-0.0928140223977375,-0.059734758817337585,-0.151440501043842,-0.839381443298969,0.7327443015520583
