Population,GDP,Electric power consumption,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,CO2 emissions lag1
-0.8999999999999999,-0.8701207985587228,-0.9,-0.9000000000000004,0.9000000000000001,-0.8416796827675799,-0.8999999999999999,0.36976849254502886,-0.9,-0.5003731343283583,-0.9
-0.8377417971639973,-0.8540287985519028,-0.8771619014905548,-0.8290287436199764,0.8580310880829016,-0.7742010752570686,-0.8739074824131314,0.5332194547967761,-0.9,-0.9,-0.8586346910109606
-0.7755614193217251,-0.8117284803656979,-0.8513919310474254,-0.5754100383885579,0.7927461139896377,-0.8752297633666806,-0.832210616073332,-0.034083359528570556,-0.9,-0.7522388059701492,-0.8333061166714117
-0.7128999068538331,-0.7850818035788156,-0.8136286234821026,-0.7003669327506152,0.6668393782383422,-0.7648047805011684,-0.7018759326369644,-0.208640960626862,-0.9,-0.198134328358209,-0.7777967125719051
-0.6500559575008338,-0.749469240519254,-0.781090714431863,-0.4768305477113204,0.5409326424870471,-0.7526194650355208,-0.7421658494990406,-0.43718760547217794,-0.9,-0.8462686567164179,-0.7364115080841509
-0.5868295179410197,-0.713859829749945,-0.7348885779379957,-0.4068786224136405,0.47564766839378225,-0.7149784485521768,-0.6626092517586869,0.02963417646317268,-0.9,-0.8462686567164179,-0.6518508251194578
-0.5233084034416917,-0.7302561873582708,-0.6881174014798687,-0.34201680829516334,0.39637305699481895,-0.9,-0.5210189725005329,-0.1856299260707457,-0.9,0.31567164179104457,-0.6104277550051175
-0.46057000018504013,-0.9000000000000001,-0.6894650639359547,-0.41194036968687264,0.45699481865284963,-0.7105073151040417,0.20036239607759532,0.8999999999999999,-0.9,-0.060447761194029836,-0.534975359710082
-0.39998242275340345,-0.8371333756348822,-0.6545251664192022,-0.28424971337460647,0.31243523316062194,-0.7875017435493367,-0.8685354934981879,-0.8150626702354168,-0.9,-0.758955223880597,-0.5262383477180523
-0.34139209928874514,-0.8018315405613171,-0.607440777963961,0.09031395370538142,0.30310880829015585,-0.799247940753684,-0.7718396930292049,-0.27692134489908127,-0.9,-0.8059701492537313,-0.4716649947435594
-0.2838124330797571,-0.8082853795710567,-0.5783430735746525,0.04377750493727106,0.24248704663212428,-0.744378801424218,-0.530100191856747,-0.5234451602487689,-0.9,-0.7052238805970149,-0.4594061585838827
-0.22679555863704337,-0.7586001762493257,-0.5699677900277256,0.13490602693507991,0.26113989637305735,-0.8008689159678836,-0.20317629503304224,-0.5326171289996515,-0.9,-0.25522388059701495,-0.39364896817058925
-0.17037123706183088,-0.7034147690780312,-0.5540528793305303,0.15261734851556774,0.1818652849740936,-0.6307669295175178,-0.35333617565551056,-0.7913030513264832,-0.9,-0.7052238805970149,-0.3763947573578137
-0.11548877312820593,-0.6722826838330456,-0.49039756093038744,0.2752556263494075,0.11191709844559594,-0.517179506339075,-0.2895118311660627,-0.7732648758848597,-0.9,-0.40970149253731347,-0.2843488743444158
-0.059341128747754546,-0.6313199449407505,-0.45352978338410666,0.3450011777279762,0.11658031088082921,-0.49100597656012535,-0.15572372628437448,-0.16242516778837102,-0.9,-0.6951492537313433,-0.2633998768832313
-0.000619635278964914,-0.5202744202727092,-0.43211764965436406,0.36350729866309894,0.04663212435233177,-0.4549679595515894,-0.5033681517800044,0.06080738047590417,-0.9,-0.12089552238805978,-0.25555174443055306
0.058686842090518,-0.4248280514727063,-0.39022992895179176,0.3418751087738654,0.041968911917098506,-0.2286017512411933,-0.6362609251758686,-0.5484384427172257,-0.9,-0.7522388059701492,-0.18873367468256808
0.11770506956284077,-0.31475609068570165,-0.35679314568660414,0.2689686728874632,0.09326424870466332,-0.15317332624070823,-0.8811980387976979,-0.677039757073759,-0.9,-0.8496268656716418,-0.12977240155605618
0.17608573074037182,-0.27334225719439664,-0.3230736118726717,0.43756487100321717,-0.041968911917098284,-0.11522973312212104,-0.3218716691536986,-0.4712140167167622,-0.9,-0.13432835820895528,-0.14433462303467337
0.23490811834605996,0.030740290845350238,-0.22204378544451397,0.8999999999999995,-0.14455958549222792,-0.11557098007953392,-0.1444681304625881,0.2583659935852367,-0.9,-0.7958955223880597,-0.09910862460955538
0.2952446043599046,0.22527684609581722,-0.16022517724926555,0.4273449774475937,-0.3124352331606217,0.02935295941955629,-0.6949690897463228,-0.8999999999999999,-0.9,-0.6615671641791045,0.004646080292599164
0.35679713926525025,0.26041098517207284,-0.08623044253422174,0.43504638847289545,-0.4196891191709844,0.45921313779937645,-0.5272862929013005,-0.7385609604346022,-0.9,-0.5238805970149254,0.1851630744535555
0.41692832897030296,0.25286828803368744,-0.02416387824665711,0.3680537605166512,-0.3963730569948185,0.31936854612602916,-0.01566830100191874,-0.20087213859694808,-0.9,-0.675,0.1990289534771572
0.47459989044381334,0.22223713766197917,0.03630279873189779,0.5263817166037326,-0.45699481865284963,0.5272663431891438,-0.06708590918780666,-0.1906210948341911,-0.9,0.010074626865671621,0.1050320280091539
0.5303061515734431,0.17996392532337135,0.06680300443919429,0.4431606218644264,-0.5829015544041449,0.5774433148654619,0.08895757834150508,0.7374989740618312,-0.9,0.22835820895522385,0.2016570846783443
0.5842263462558277,0.2801749906600488,0.13780225955147496,0.44586536632826945,-0.5269430051813471,0.5175690974601941,0.9000000000000004,-0.19622215953863376,-0.9,-0.4197761194029851,0.22515013881388923
0.6360697651562282,0.398331044259868,0.1992493940761466,0.4718025682654776,-0.6481865284974093,0.8016744798570516,0.19831592410999765,-0.8055340529116373,-0.9,-0.6985074626865672,0.20814012920307978
0.6857387361916274,0.43593716372986746,0.36120565402998994,0.45360951881939204,-0.7974093264248705,0.8999999999999999,0.22722234065231262,-0.7445546263334868,-0.9,-0.3156716417910448,0.3000794750298117
0.7341178752082005,0.5443391658488363,0.42060926869118154,0.4570924844710458,-0.9,0.3246865911744532,0.41818375612875713,-0.5365805020398953,-0.9,0.362686567164179,0.4949327804904309
