Country,Train MAPE,Val MAPE (CV),Val MAPE Std,Test MAPE,Gap (Test−Train)
Canada,0.003,5.4106,10.3018,0.6773,0.6743
Russian Federation,0.0316,0.2079,0.1138,1.9721,1.9405
China,0.0007,0.6915,0.9968,0.1,0.0993
United States,0.0017,0.9077,0.9578,0.5539,0.5522
India,0.0011,0.6156,0.9701,0.1725,0.1714
Indonesia,0.003,1.3613,2.1283,0.3211,0.3181
Average,0.0068,1.5324,2.5781,0.6328,0.626
