Country,Train RMSE,Val RMSE (CV),Val RMSE Std,Test RMSE,Gap (Test−Train)
Canada,1.2816,0.2201,0.1758,0.3248,-0.9567
Russian Federation,0.6141,0.2348,0.0845,0.3194,-0.2947
China,0.0425,0.0352,0.029,0.0777,0.0351
United States,0.0796,0.241,0.1087,0.137,0.0574
India,0.0164,0.0312,0.0059,0.0267,0.0103
Indonesia,0.0249,0.0485,0.0147,0.1004,0.0755
Average,0.3432,0.1352,0.0698,0.1643,-0.1788
