Country,Train MAPE,Val MAPE (CV),Val MAPE Std,Test MAPE,Gap (Test−Train)
Canada,0.3428,3.6888,6.7903,1.2445,0.9017
Russian Federation,0.2319,0.2215,0.1493,1.0017,0.7698
China,0.4097,0.4135,0.6276,0.0475,-0.3622
United States,0.2358,0.5534,0.4955,0.2349,-0.0009
India,0.0786,0.129,0.1225,0.086,0.0074
Indonesia,0.418,1.4853,2.5648,0.1737,-0.2443
Average,0.2861,1.0819,1.7917,0.4647,0.1786
