Country,Train MAE,Val MAE (CV),Val MAE Std,Test MAE,Gap (Test−Train)
Canada,0.3817,0.1224,0.0504,0.2645,-0.1172
Russian Federation,0.1736,0.1135,0.0769,0.2007,0.0271
China,0.0244,0.046,0.0304,0.0816,0.0571
United States,0.3501,0.1471,0.0531,0.1836,-0.1664
India,0.0213,0.0368,0.0245,0.161,0.1396
Indonesia,0.3718,0.046,0.007,0.1668,-0.205
Average,0.2205,0.0853,0.0404,0.1763,-0.0441
