Country,Train RMSE,Val RMSE (CV),Val RMSE Std,Test RMSE,Gap (Test−Train)
Canada,0.0097,0.1291,0.0878,0.5855,0.5757
Russian Federation,0.1272,0.1484,0.1098,0.1616,0.0344
China,0.0161,0.0406,0.0157,0.0489,0.0327
United States,0.0817,0.1861,0.0589,0.1678,0.0861
India,0.0132,0.0364,0.0167,0.0632,0.05
Indonesia,0.0268,0.0453,0.0109,0.1269,0.1
Average,0.0458,0.0976,0.05,0.1923,0.1465
