Country,Train RMSE,Val RMSE (CV),Val RMSE Std,Test RMSE,Gap (Test−Train)
Canada,0.5529,0.1397,0.0567,0.3406,-0.2123
Russian Federation,0.2455,0.136,0.0845,0.2356,-0.0099
China,0.0335,0.0536,0.0311,0.0892,0.0556
United States,0.5186,0.1718,0.0469,0.2883,-0.2304
India,0.0276,0.045,0.0287,0.184,0.1564
Indonesia,0.4545,0.051,0.0091,0.1807,-0.2739
Average,0.3054,0.0995,0.0428,0.2197,-0.0857
