Country,Train MAE,Val MAE (CV),Val MAE Std,Test MAE,Gap (Test−Train)
Canada,0.3842,0.1347,0.049,0.426,0.0418
Russian Federation,0.1569,0.1161,0.0714,0.2743,0.1174
China,0.0194,0.0648,0.0249,0.0399,0.0205
United States,0.3666,0.1732,0.0993,0.2133,-0.1533
India,0.0244,0.0535,0.0207,0.1277,0.1033
Indonesia,0.0286,0.0558,0.0137,0.1772,0.1487
Average,0.1633,0.0997,0.0465,0.2097,0.0464
