Country,Train MAPE,Val MAPE (CV),Val MAPE Std,Test MAPE,Gap (Test−Train)
Canada,14.088,4.35,7.8878,0.8778,-13.2102
Russian Federation,0.3767,0.3041,0.2485,2.6191,2.2423
China,0.1632,1.1172,1.9585,0.0525,-0.1107
United States,2.9833,1.548,2.3027,0.599,-2.3843
India,0.149,0.3388,0.3775,0.1911,0.0421
Indonesia,0.1376,0.4044,0.3518,0.3257,0.1881
Average,2.983,1.3438,2.1878,0.7775,-2.2055
