Country,Train RMSE,Val RMSE (CV),Val RMSE Std,Test RMSE,Gap (Test−Train)
Canada,0.1011,0.1537,0.0854,0.2751,0.174
Russian Federation,0.3316,0.1788,0.1053,0.2505,-0.0812
China,0.0141,0.0393,0.0212,0.0737,0.0596
United States,1.6474,0.1879,0.0557,0.23,-1.4174
India,0.0369,0.0284,0.0134,0.0336,-0.0033
Indonesia,0.0788,0.0496,0.0188,0.1255,0.0466
Average,0.3683,0.1063,0.0499,0.1647,-0.2036
