Country,Train MAE,Val MAE (CV),Val MAE Std,Test MAE,Gap (Test−Train)
Canada,0.0003,0.1192,0.0436,0.2893,0.289
Russian Federation,0.017,0.0992,0.0417,0.2521,0.2351
China,0.0002,0.068,0.0358,0.0757,0.0755
United States,0.0003,0.1441,0.0785,0.2249,0.2246
India,0.0002,0.0571,0.0235,0.0995,0.0993
Indonesia,0.0003,0.0501,0.0168,0.1438,0.1435
Average,0.003,0.0896,0.04,0.1809,0.1778
