Country,Train RMSE,Val RMSE (CV),Val RMSE Std,Test RMSE,Gap (Test−Train)
Canada,0.0004,0.132,0.0397,0.2493,0.2489
Russian Federation,0.0038,0.1353,0.0557,0.2344,0.2306
China,0.0004,0.0742,0.0366,0.1041,0.1036
United States,0.0007,0.1752,0.073,0.2956,0.2949
India,0.0003,0.0619,0.0233,0.1148,0.1145
Indonesia,0.0005,0.0616,0.021,0.1631,0.1627
Average,0.001,0.1067,0.0415,0.1935,0.1925
