Country,Train MAE,Val MAE (CV),Val MAE Std,Test MAE,Gap (Test−Train)
Canada,0.0564,0.1332,0.0754,0.2349,0.1785
Russian Federation,0.1566,0.1493,0.0983,0.2113,0.0547
China,0.0115,0.0306,0.0153,0.0622,0.0507
United States,0.3959,0.1678,0.0432,0.1861,-0.2098
India,0.0192,0.0213,0.009,0.0261,0.0068
Indonesia,0.0323,0.0388,0.0136,0.0927,0.0605
Average,0.112,0.0902,0.0425,0.1355,0.0236
