Country,Train MAPE,Val MAPE (CV),Val MAPE Std,Test MAPE,Gap (Test−Train)
Canada,13.994,1.8527,3.0066,0.638,-13.356
Russian Federation,0.4405,0.3074,0.276,1.9075,1.467
China,0.7505,0.2823,0.2959,0.1092,-0.6413
United States,3.2292,0.785,0.7408,0.4034,-2.8258
India,0.1272,0.2855,0.4528,0.2548,0.1276
Indonesia,0.9926,0.3076,0.2089,0.3469,-0.6457
Average,3.2557,0.6367,0.8302,0.61,-2.6457
