Country,Train MAE,Val MAE (CV),Val MAE Std,Test MAE,Gap (Test−Train)
Canada,0.0096,0.109,0.0735,0.4978,0.4882
Russian Federation,0.109,0.1172,0.0766,0.1381,0.0291
China,0.0093,0.0349,0.0147,0.0344,0.0252
United States,0.0506,0.1437,0.03,0.1048,0.0542
India,0.0081,0.0291,0.0125,0.0488,0.0407
Indonesia,0.0163,0.0372,0.009,0.0996,0.0833
Average,0.0338,0.0785,0.036,0.1539,0.1201
