Country,Train MAPE,Val MAPE (CV),Val MAPE Std,Test MAPE,Gap (Test−Train)
Canada,0.0039,5.5932,10.6714,0.4474,0.4436
Russian Federation,0.006,0.1948,0.0956,1.7444,1.7383
China,0.0054,0.6903,0.9948,0.1136,0.1082
United States,0.0038,0.8987,0.9043,0.6094,0.6055
India,0.001,0.6139,0.9667,0.1725,0.1715
Indonesia,0.0047,1.3761,2.1592,0.3085,0.3038
Average,0.0041,1.5611,2.632,0.566,0.5618
