Country,Train MAPE,Val MAPE (CV),Val MAPE Std,Test MAPE,Gap (Test−Train)
Canada,0.3443,0.5084,0.4823,1.3425,0.9982
Russian Federation,0.2577,0.2129,0.1153,0.9337,0.6761
China,0.3842,0.5213,0.892,0.0383,-0.3458
United States,0.5143,0.842,0.8522,0.4046,-0.1096
India,0.0738,0.119,0.1105,0.0784,0.0045
Indonesia,0.7085,1.5742,2.6852,0.2735,-0.435
Average,0.3805,0.6296,0.8562,0.5118,0.1314
