Country,Train MAPE,Val MAPE (CV),Val MAPE Std,Test MAPE,Gap (Test−Train)
Canada,3.2313,4.1828,7.6989,0.6328,-2.5986
Russian Federation,0.4951,0.4001,0.1262,2.1771,1.682
China,0.1095,0.1595,0.142,0.0938,-0.0157
United States,0.3682,0.9964,1.1891,0.3052,-0.063
India,0.0424,0.1039,0.0852,0.0341,-0.0084
Indonesia,0.081,0.4476,0.5922,0.1535,0.0725
Average,0.7212,1.0484,1.6389,0.5661,-0.1552
