Country,Train RMSE,Val RMSE (CV),Val RMSE Std,Test RMSE,Gap (Test−Train)
Canada,0.0138,0.1032,0.0617,0.6352,0.6213
Russian Federation,0.1332,0.146,0.0862,0.1647,0.0315
China,0.016,0.027,0.0134,0.0399,0.0239
United States,0.0782,0.1519,0.0708,0.2617,0.1835
India,0.0169,0.0317,0.0154,0.067,0.0501
Indonesia,0.0199,0.0463,0.0184,0.1608,0.1409
Average,0.0463,0.0844,0.0443,0.2215,0.1752
