Country,Train MAE,Val MAE (CV),Val MAE Std,Test MAE,Gap (Test−Train)
Canada,0.2892,0.1732,0.1422,0.2411,-0.0481
Russian Federation,0.2234,0.2067,0.0841,0.2539,0.0305
China,0.0199,0.0292,0.0222,0.0681,0.0482
United States,0.0642,0.2032,0.0773,0.1008,0.0366
India,0.0122,0.0253,0.0043,0.021,0.0088
Indonesia,0.0173,0.0433,0.0113,0.0779,0.0606
Average,0.1044,0.1135,0.0569,0.1271,0.0228
