Country,Train RMSE,Val RMSE (CV),Val RMSE Std,Test RMSE,Gap (Test−Train)
Canada,0.0004,0.1325,0.0437,0.3585,0.358
Russian Federation,0.0279,0.1314,0.0553,0.2824,0.2546
China,0.0003,0.0744,0.0367,0.087,0.0867
United States,0.0004,0.1658,0.0884,0.2969,0.2965
India,0.0003,0.062,0.0234,0.1148,0.1145
Indonesia,0.0004,0.0616,0.0211,0.1645,0.1641
Average,0.005,0.1046,0.0448,0.2173,0.2124
