Country,Train MAE,Val MAE (CV),Val MAE Std,Test MAE,Gap (Test−Train)
Canada,0.0003,0.1175,0.0385,0.161,0.1607
Russian Federation,0.0026,0.0967,0.0419,0.1728,0.1702
China,0.0003,0.0678,0.0356,0.0875,0.0872
United States,0.0005,0.1491,0.0556,0.2323,0.2318
India,0.0002,0.057,0.0234,0.0995,0.0993
Indonesia,0.0004,0.05,0.0167,0.1416,0.1412
Average,0.0007,0.0897,0.0353,0.1491,0.1484
