Model,Canada,Russia,China,US,India,Indonesia,Average
ARIMAX,0.3248,0.3194,0.0777,0.1370,0.0267,0.1004,0.1643
SVR,0.5855,0.1616,0.0489,0.1678,0.0632,0.1269,0.1923
XGBoost,0.3585,0.2824,0.0870,0.2969,0.1148,0.1645,0.2173
LSTCN,0.4463,0.3539,0.0524,0.2985,0.1610,0.2099,0.2537
Model Avg,0.4288,0.2793,0.0665,0.2251,0.0914,0.1504,0.2069
