Country,ARIMAX,SVR,XGBoost,LSTCN,"Country
Avg"
Canada,0.0017,0.0012,0.0216,0.0272,0.0129
Russian Federation,0.0077,-0.0002,0.0146,0.0125,0.0087
China,0.0035,0.0031,-0.0054,-0.0203,-0.0048
United States,-0.0143,-0.0125,-0.0013,0.0048,-0.0058
India,-0.003,0.0006,0.0,-0.0176,-0.005
Indonesia,-0.007,-0.0177,0.0014,0.0031,-0.0051
"Model
Avg",-0.0019,-0.0042,0.0052,0.0016,0.0002
