Model,Canada,Russia,China,US,India,Indonesia,Average
ARIMAX,0.0062,0.0427,0.0059,-0.0853,-0.0051,-0.0148,-0.0084
SVR,0.0107,-0.0002,0.0064,-0.0718,0.0000,-0.0305,-0.0142
XGBoost,0.1282,0.0793,-0.0118,-0.0074,0.0000,0.0022,0.0318
LSTCN,0.1615,0.0736,-0.0416,0.0297,-0.0333,0.0105,0.0334
Model Avg,0.0766,0.0488,-0.0103,-0.0337,-0.0096,-0.0081,0.0106
