Model,Canada,Russia,China,US,India,Indonesia,Average
ARIMAX,0.0419,0.0449,0.0333,0.0173,0.0106,0.0402,0.0314
SVR,0.0862,0.0244,0.0166,0.0183,0.0247,0.0487,0.0365
XGBoost,0.0496,0.0449,0.0359,0.0390,0.0496,0.0734,0.0487
LSTCN,0.0726,0.0480,0.0192,0.0369,0.0627,0.0893,0.0548
Model Avg,0.0626,0.0406,0.0262,0.0279,0.0369,0.0629,0.0428
