Model,Canada,Russia,China,US,India,Indonesia,Average
ARIMAX,0.0402,0.0372,0.0298,0.0315,0.0136,0.0473,0.0333
SVR,0.0850,0.0246,0.0135,0.0307,0.0241,0.0664,0.0407
XGBoost,0.0279,0.0303,0.0413,0.0403,0.0496,0.0720,0.0436
LSTCN,0.0455,0.0355,0.0395,0.0321,0.0803,0.0863,0.0532
Model Avg,0.0496,0.0319,0.0310,0.0336,0.0419,0.0680,0.0427
