Model,Canada,Russia,China,US,India,Indonesia,Average
ARIMAX,0.0017,0.0077,0.0035,-0.0143,-0.0030,-0.0070,-0.0019
SVR,0.0012,-0.0002,0.0031,-0.0125,0.0006,-0.0177,-0.0043
XGBoost,0.0216,0.0146,-0.0054,-0.0013,0.0000,0.0014,0.0052
LSTCN,0.0272,0.0125,-0.0203,0.0048,-0.0176,0.0031,0.0016
Model Avg,0.0129,0.0087,-0.0048,-0.0058,-0.0050,-0.0051,0.0002
