Model,Canada,Russia,China,US,India,Indonesia,Average
ARIMAX,0.0497,0.0690,0.0039,-0.0930,-0.0068,-0.0251,-0.0004
SVR,-0.0497,-0.0030,0.0090,-0.0938,-0.0038,-0.0339,-0.0292
XGBoost,0.1092,0.0481,-0.0171,0.0013,-0.0000,0.0014,0.0238
LSTCN,0.1057,0.1183,-0.0368,0.0102,-0.0230,0.0293,0.0340
Model Avg,0.0537,0.0581,-0.0103,-0.0438,-0.0084,-0.0071,0.0071
