Model,Canada,Russia,China,US,India,Indonesia,Average
ARIMAX,0.2411,0.2539,0.0681,0.1008,0.0210,0.0779,0.1271
SVR,0.4978,0.1381,0.0344,0.1048,0.0488,0.0996,0.1539
XGBoost,0.2893,0.2521,0.0757,0.2249,0.0995,0.1438,0.1809
LSTCN,0.4260,0.2743,0.0399,0.2133,0.1277,0.1772,0.2097
Model Avg,0.3635,0.2296,0.0545,0.1609,0.0743,0.1246,0.1679
