Model,Canada,Russia,China,US,India,Indonesia,Average
ARIMAX,0.2751,0.2505,0.0737,0.2300,0.0336,0.1255,0.1647
SVR,0.6352,0.1647,0.0399,0.2617,0.0670,0.1608,0.2215
XGBoost,0.2493,0.2344,0.1041,0.2956,0.1148,0.1631,0.1935
LSTCN,0.3406,0.2356,0.0892,0.2883,0.1840,0.1807,0.2197
Model Avg,0.3750,0.2213,0.0767,0.2689,0.0998,0.1575,0.1998
