Year,Country Name,Population,GDP,Electric power consumption,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,Total CO2 emissions
2021,Russian Federation,144746762,1829186719575.096,7186.675443558454,92.72936936886907,3.5,27.50296344400694,1.577916666666667,1.243057752636171,219.2,1.19,1938.4596
2022,Russian Federation,144236933,2291612121334.643,7184.422037038184,92.73009453612762,3.466666666666667,28.21271855913324,2.402166666666667,1.272064583877547,219.62,0.44,1895.4729
2023,Russian Federation,143826130,2071505725030.579,7047.143450858879,92.73064683762645,3.555555555555556,28.72900722570675,2.405833333333333,1.282267836902866,215.91,0.77,1948.3024
1990,United States,249623000,5.96314E+12,11713.33170420995,86.46400591701746,4.2,100.4557843502692,0.7355,1.024676005704567,113.83,12.66,4983.6037
1991,United States,252981000,6.15813E+12,12134.17213150395,85.71294022,4.5,100.8370347861131,0.7105833333333335,0.898837532,117.94,8.77,4939.0307
1992,United States,256514000,6.52033E+12,12014.95825,85.59449839733215,4.8,102.8698730813806,0.2563333333333334,1.162744621813215,117.7,6.54,5016.9879
1993,United States,259919000,6.85856E+12,12261.52378240913,86.13355004024733,4.3,108.9248694452655,0.1605,0.6404005907763255,120.4,9.99,5135.577
1994,United States,263126000,7.28724E+12,12455.16216565448,85.94257521416053,4.1,108.1244988357039,0.4765,0.6564428764180475,116.74,10.41,5217.8955
1995,United States,266278000,7.63975E+12,12659.60762811798,85.50088500290715,4.7,108.8079834877506,0.5599166666666666,0.7142239912816022,114.21,10.64,5271.4648
1996,United States,269394000,8.07312E+12,12854.29890791926,85.54141641924413,4.8,112.9384552780088,-0.010083333,0.6019941110361647,126.01,9.51,5426.4743
1997,United States,272657000,8.57755E+12,12889.83228011751,86.4934454,4.5,113.8318423061421,0.4095833333333334,0.7922793550187263,120.33,6.94,5699.5176
