country,feature_set,kernel,C,epsilon,gamma,degree,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,rbf,100.0,0.01,auto,,True,,5,5,0,0.1291249604849452,0.1291249604849452,-1.2163605863443183,0.10901438009503359,0.10901438009503359,-0.9539269655449681,3.688804158480358,-2.688804158480358,-1.759973506894846
Canada,augmented,rbf,500.0,0.01,auto,,True,,5,5,0,0.1291249604849452,0.1291249604849452,-1.2163605863443183,0.10901438009503359,0.10901438009503359,-0.9539269655449681,3.688804158480358,-2.688804158480358,-1.759973506894846
Canada,augmented,rbf,100.0,0.01,0.1,,True,,5,5,0,0.1313513224562676,0.1313513224562676,-1.2523570859017161,0.110094402342431,0.110094402342431,-0.9990385635534867,3.7787111945887353,-2.778711194588735,-1.7409959522433933
Canada,augmented,rbf,500.0,0.01,0.1,,True,,5,5,0,0.1313513224562676,0.1313513224562676,-1.2523570859017161,0.110094402342431,0.110094402342431,-0.9990385635534867,3.7787111945887353,-2.778711194588735,-1.7409959522433933
Canada,augmented,rbf,10.0,0.01,auto,,True,,5,5,0,0.13135971753001233,0.13135971753001233,-1.2043807319038193,0.11045835563258652,0.11045835563258652,-0.9438014313373213,3.6983453421791452,-2.6983453421791452,-1.4503490160153767
Canada,augmented,rbf,10.0,0.01,0.1,,True,,5,5,0,0.1351126684177099,0.1351126684177099,-1.2388126438257414,0.11279147640526281,0.11279147640526281,-0.9880720505179502,3.7892825551390166,-2.7892825551390166,-1.5733156080087103
Canada,augmented,linear,1.0,0.01,,,True,,5,5,0,0.1343515719393304,0.1343515719393304,-0.5839226020620318,0.11382650732049808,0.11382650732049808,-0.3284980204022122,1.5762704098656326,-0.5762704098656325,-4.345003896390535
Canada,augmented,rbf,100.0,0.001,auto,,True,,5,5,0,0.13182332786769158,0.13182332786769158,-1.2670901486334216,0.11422519181091884,0.11422519181091884,-0.9929352396748948,4.161765574872663,-3.161765574872663,-1.9094233270178786
Canada,augmented,rbf,500.0,0.001,auto,,True,,5,5,0,0.13182332786769158,0.13182332786769158,-1.2670901486334216,0.11422519181091884,0.11422519181091884,-0.9929352396748948,4.161765574872663,-3.161765574872663,-1.9094233270178786
Canada,augmented,rbf,100.0,0.001,0.1,,True,,5,5,0,0.13342540576067458,0.13342540576067458,-1.3025570036271215,0.1149360468790837,0.1149360468790837,-1.0198922470765555,4.241994869686783,-3.2419948696867835,-1.8223991340575547
Canada,augmented,rbf,500.0,0.001,0.1,,True,,5,5,0,0.13342540576067458,0.13342540576067458,-1.3025570036271215,0.1149360468790837,0.1149360468790837,-1.0198922470765555,4.241994869686783,-3.2419948696867835,-1.8223991340575547
Canada,augmented,rbf,10.0,0.001,auto,,True,,5,5,0,0.13485895174465407,0.13485895174465407,-1.2531442673537077,0.11521667263307094,0.11521667263307094,-0.9832952457387035,4.16906442217482,-3.16906442217482,-1.4717286495826465
Canada,augmented,linear,1.0,0.001,,,True,,5,5,0,0.13880795213762803,0.13880795213762803,-0.7385264392278724,0.11701725712404096,0.11701725712404096,-0.44570366584436033,1.581731165443545,-0.5817311654435451,-4.649725466796319
Canada,augmented,rbf,10.0,0.001,0.1,,True,,5,5,0,0.13720316087030401,0.13720316087030401,-1.287611142213858,0.11737861914814715,0.11737861914814715,-1.0079753414532846,4.2517017225675495,-3.2517017225675495,-1.5352383621716013
Canada,augmented,linear,10.0,0.1,,,True,,5,5,0,0.13883730776743244,0.13883730776743244,-1.2107884545049288,0.1314370553266665,0.1314370553266665,-1.1745217609293412,5.839584958571153,-4.839584958571153,-2.9429749890341994
Canada,augmented,linear,100.0,0.1,,,True,,5,5,0,0.13883730776743244,0.13883730776743244,-1.2107884545049288,0.1314370553266665,0.1314370553266665,-1.1745217609293412,5.839584958571153,-4.839584958571153,-2.9429749890341994
Canada,augmented,linear,500.0,0.1,,,True,,5,5,0,0.13883730776743244,0.13883730776743244,-1.2107884545049288,0.1314370553266665,0.1314370553266665,-1.1745217609293412,5.839584958571153,-4.839584958571153,-2.9429749890341994
Canada,augmented,linear,1.0,0.1,,,True,,5,5,0,0.14013856289447416,0.14013856289447416,-1.2074367441985001,0.13295722914727687,0.13295722914727687,-1.1706061703920063,5.844140536348357,-4.844140536348357,-2.9616218769832683
Canada,augmented,poly,10.0,0.001,auto,2.0,True,,5,5,0,0.15742460340930994,0.15742460340930994,-0.5356614756369529,0.1353781825618313,0.1353781825618313,-0.48028073281739847,3.7165994310164088,-2.716599431016408,-4.817573508162086
